Disease,Description
Drug Reaction,"Olumsuz ilaç reaksiyonu (ADR), ilaç almanın neden olduğu bir yaralanmadır.ADR'ler bir ilacın tek doz veya uzun süreli uygulanmasının ardından ortaya çıkabilir veya iki veya daha fazla ilacın kombinasyonundan kaynaklanabilir."
Malaria,"Plasmodium familyasından tek hücreli parazitlerin neden olduğu, Anofel sivrisinek ısırığı veya kontamine bir iğne veya kan nakli yoluyla bulaşabilen bulaşıcı bir hastalık.Falciparum sıtması en ölümcül türdür."
Allergy,"Alerji, normalde vücudunuza zarar vermeyen yabancı bir maddeye karşı bağışıklık sisteminin verdiği tepkidir. Bunlar arasında belirli gıdalar, polen veya evcil hayvan tüyü bulunabilir.Bağışıklık sisteminizin görevi zararlı patojenlerle savaşarak sizi sağlıklı tutmaktır."
Hypothyroidism,"Az aktif tiroid veya düşük tiroid olarak da adlandırılan hipotiroidizm, tiroid bezinin yeterli tiroid hormonu üretmediği endokrin sistem bozukluğudur."
Psoriasis,"Sedef hastalığı, gümüş pullarla kaplı kalın, kırmızı, inişli çıkışlı lekeler oluşturan yaygın bir cilt hastalığıdır.Her yerde ortaya çıkabilirler, ancak çoğu kafa derisinde, dirseklerde, dizlerde ve sırtın alt kısmında görülür.Sedef hastalığı kişiden kişiye geçemez.Bazen aynı ailenin üyelerinde de olur."
GERD,"Gastroözofageal reflü hastalığı veya GERD, yemek borusu ile mide arasındaki kas halkası olan alt özofagus sfinkterini (LES) etkileyen bir sindirim bozukluğudur.Hamile kadınlar da dahil olmak üzere pek çok kişi, GERD'nin neden olduğu mide yanması veya asit hazımsızlığından muzdariptir."
Chronic cholestasis,"Kronik kolestatik hastalıklar, ister bebeklik, çocukluk veya yetişkinlik döneminde ortaya çıksın, çoğu durumda safra epitelindeki birincil hasarın neden olduğu safra asidinin karaciğerden bağırsağa taşınmasındaki kusurla karakterize edilir."
hepatitis A,"Hepatit A, hepatit A virüsünün neden olduğu oldukça bulaşıcı bir karaciğer enfeksiyonudur.Virüs, iltihaplanmaya neden olan ve karaciğerinizin çalışma yeteneğini etkileyen çeşitli hepatit virüslerinden biridir."
Osteoarthristis,"Osteoartrit, dünya çapında milyonlarca insanı etkileyen, artritin en yaygın şeklidir.Kemiklerinizin uçlarını yastıklayan koruyucu kıkırdak zamanla aşındığında ortaya çıkar."
(vertigo) Paroymsal  Positional Vertigo,"İyi huylu paroksismal pozisyonel vertigo (BPPV), vertigonun en yaygın nedenlerinden biridir; ani bir şekilde döndüğünüz veya başınızın iç kısmının döndüğü hissi.İyi huylu paroksismal pozisyonel vertigo, hafiften yoğuna kadar kısa süreli baş dönmesi ataklarına neden olur."
Hypoglycemia,"Hipoglisemi, kan şekeri (glikoz) düzeyinizin normalden düşük olduğu bir durumdur.Glikoz vücudunuzun ana enerji kaynağıdır.Hipoglisemi sıklıkla diyabet tedavisiyle ilişkilidir.Ancak diğer ilaçlar ve çoğu nadir görülen çeşitli durumlar, diyabeti olmayan kişilerde kan şekerinin düşmesine neden olabilir."
Acne,"Akne vulgaris, pilosebase ünitelerin (saç folikülleri ve bunlara eşlik eden yağ bezleri) tıkanması ve iltihaplanması sonucu komedon, papül, püstül, nodül ve/veya kist oluşumudur.Akne yüz ve üst gövdede gelişir.Çoğu zaman ergenleri etkiler."
Diabetes,"Diyabet, kan şekeri olarak da adlandırılan kan şekerinizin çok yüksek olması durumunda ortaya çıkan bir hastalıktır.Kan şekeri ana enerji kaynağınızdır ve yediğiniz yiyeceklerden gelir.Pankreas tarafından üretilen bir hormon olan insülin, yiyeceklerdeki glikozun enerji için kullanılmak üzere hücrelerinize girmesine yardımcı olur."
Impetigo,"İmpetigo (im-puh-TIE-go), esas olarak bebekleri ve çocukları etkileyen yaygın ve oldukça bulaşıcı bir cilt enfeksiyonudur.İmpetigo genellikle yüzde, özellikle çocuğun burun ve ağız çevresinde, ellerde ve ayaklarda kırmızı yaralar şeklinde görünür.Yaralar patlar ve bal renginde kabuklar oluşur."
Hypertension,"Yüksek tansiyon (HBP) olarak da bilinen hipertansiyon (HTN veya HT), arterlerdeki kan basıncının sürekli olarak yükseldiği uzun süreli bir tıbbi durumdur.Yüksek tansiyon genellikle semptomlara neden olmaz."
Peptic ulcer diseae,"Peptik ülser hastalığı (PUD), midenin iç astarında, ince bağırsağın ilk kısmında veya bazen yemek borusunun alt kısmında bir kırılmadır.Midedeki ülsere mide ülseri, bağırsağın ilk kısmındaki ülsere ise duodenal ülser denir."
Dimorphic hemorrhoids(piles),"Hemoroitler, aynı zamanda hemoroitler olarak da yazılır, anal kanaldaki vasküler yapılardır.Bunların içinde... Diğer adları, Hemoroid, basur, hemoroid hastalığıdır."
Common Cold,"Soğuk algınlığı, burnunuzun ve boğazınızın (üst solunum yolu) viral bir enfeksiyonudur.Her ne kadar öyle hissetmese de genellikle zararsızdır.Birçok virüs türü soğuk algınlığına neden olabilir."
Chicken pox,"Su çiçeği, varicella-zoster virüsünün (VZV) neden olduğu oldukça bulaşıcı bir hastalıktır.Kaşıntılı, kabarcık benzeri döküntülere neden olabilir.Döküntüler önce göğüste, sırtta ve yüzde ortaya çıkar, daha sonra tüm vücuda yayılır ve 250 ile 500 arasında kaşıntılı kabarcıklara neden olur."
